,Proposed.Management.Action,District,Scale,Costing.Certainty,Average_Funding_Shortfall,Average_Filtered_Costings_Data,Count
288,Improving Riparian Habitat,Doon,Targeted Location,Little Confidence,1.00E+05,1.00E+05,1
289,Improving Riparian Habitat,Doon,River,Fairly Confident,40000,40000,1
290,Improving Riparian Habitat,Doon,Whole District,Estimate,52000,104000,1
291,Improving Riparian Habitat,Eachaig,Whole District,,NA,NA,1
292,Improving Riparian Habitat,Esk,Catchment,Estimate,NA,366666.6667,3
293,Improving Riparian Habitat,Findhorn,Whole District,N/A,1000,5000,1
294,Improving Riparian Habitat,Fleet (Kircudbright),River,Fairly Confident,25000,30000,1
295,Improving Riparian Habitat,Girvan,Targeted Location,Very Confident,11900,11900,4
296,Improving Riparian Habitat,Girvan,River,Very Confident,89066.66667,89066.66667,3
297,Improving Riparian Habitat,Helmsdale,Whole District,,NA,3000,1
298,Improving Riparian Habitat,Irvine and Garnock,Targeted Location,Estimate,32750,43000,2
299,Improving Riparian Habitat,Irvine and Garnock,River,Estimate,121333.3333,142666.6667,3
300,Improving Riparian Habitat,Irvine and Garnock,River,Fairly Confident,129228,258456,1
301,Improving Riparian Habitat,Irvine and Garnock,River,Little Confidence,2.00E+05,2.00E+05,1
302,Improving Riparian Habitat,Irvine and Garnock,Catchment,Estimate,4.00E+05,4.00E+05,1
303,Improving Riparian Habitat,Kyle of Sutherland,Whole District,Estimate,5250000,5250000,1
304,Improving Riparian Habitat,Lossie,Whole District,N/A,300,1800,1
305,Improving Riparian Habitat,Luce,Targeted Location,Fairly Confident,5000,6000,1
306,Improving Riparian Habitat,Nairn,Whole District,N/A,NA,NA,1
307,Improving Riparian Habitat,Spey,Targeted Location,Estimate,30000,33000,1
308,Improving Riparian Habitat,Stinchar,Targeted Location,Fairly Confident,30750,43350,4
309,Improving Riparian Habitat,Stinchar,Targeted Location,Very Confident,5000,5000,1
310,Improving Riparian Habitat,Stinchar,River,Fairly Confident,40700,40700,2
311,Improving Riparian Habitat,Tay,Targeted Location,Estimate,20000,57250,2
312,Improving Riparian Habitat,Tay,River,Estimate,175000,180750,2
313,Improving Riparian Habitat,Urr,River,Fairly Confident,9000,12000,1
314,Improving Riparian Habitat,West Sutherland,Catchment,,0,NA,6
315,Improving Riparian Habitat,West Sutherland,Whole District,,0,NA,1
316,Improving Riparian Habitat,Wester Ross,Targeted Location,N/A,10500,21000,3
317,Improving Riparian Habitat,Wester Ross,River,Estimate,7000,21000,3
318,Improving Riparian Habitat,Wester Ross,Catchment,Estimate,20750,41500,4
319,Land Management,Annan,Catchment,Fairly Confident,0,1050,1
320,Land Management,Ayr,River,Estimate,505000,1010000,1
321,Land Management,Ayr,Catchment,Very Confident,20000,20000,1
322,Land Management,Beauly,Catchment,,NA,800,1
323,Land Management,Bladnoch,Catchment,Fairly Confident,0,1050,1
324,Land Management,Cree,Catchment,Estimate,NA,1050,1
325,Land Management,Dee,Coastal,Very Confident,0,4000,1
326,Land Management,Dee,Whole District,Estimate,50000,115466,1
327,Land Management,Dee,Whole District,Very Confident,0,4000,1
328,Land Management,Dee (Kircudbright),Catchment,Fairly Confident,0,1050,1
329,Land Management,Deveron,Catchment,Estimate,150300,150300,2
330,Land Management,Don,Coastal,Very Confident,0,800,1
331,Land Management,Don,Whole District,Estimate,50000,52645,1
332,Land Management,Don,Whole District,Very Confident,0,2000,1
333,Land Management,Doon,Catchment,Fairly Confident,20000,20000,1
334,Land Management,Eachaig,Targeted Location,,NA,NA,1
335,Land Management,Fleet (Kircudbright),Catchment,Very Confident,0,1050,1
336,Land Management,Forth,NA,N/A,0,NA,1
337,Land Management,Girvan,Catchment,Very Confident,30000,30000,1
338,Land Management,Girvan,Whole District,Estimate,2.00E+05,2.00E+05,1
339,Land Management,Irvine and Garnock,River,Estimate,101000,202000,1
340,Land Management,Irvine and Garnock,Catchment,Little Confidence,70500,141000,1
341,Land Management,Irvine and Garnock,NA,,NA,20000,1
342,Land Management,Laggan and Sorn,Targeted Location,,NA,5000,1
343,Land Management,Lochaber,Whole District,N/A,0,NA,1
344,Land Management,Luce,Catchment,Fairly Confident,0,1050,1
345,Land Management,Ness,Targeted Location,N/A,NA,NA,1
346,Land Management,Ness,River,Estimate,2000,2000,4
347,Land Management,Ness,Catchment,Estimate,2000,2000,4
348,Land Management,Spey,River,Fairly Confident,3000,6000,1
349,Land Management,Spey,Catchment,Fairly Confident,20000,290000,1
350,Land Management,Spey,Catchment,N/A,0,NA,1
351,Land Management,Stinchar,Whole District,Very Confident,20000,50000,1
352,Land Management,Tay,Catchment,Estimate,1.00E+06,1010000,1
353,Land Management,Ugie,Catchment,Very Confident,0,2500,1
354,Land Management,Urr,Catchment,Fairly Confident,0,1050,1
355,Land Management,West Sutherland,Whole District,Estimate,8000,8000,1
356,Lobbying,Annan,Catchment,Fairly Confident,0,2000,1
357,Lobbying,Beauly,Coastal,,NA,NA,1
358,Lobbying,Bladnoch,Catchment,Very Confident,0,1000,1
359,Lobbying,Brora,Coastal,N/A,0,NA,1
360,Lobbying,Brora,Catchment,Very Confident,0,NA,1
361,Lobbying,Dee (Kircudbright),Catchment,Fairly Confident,0,2000,1
362,Lobbying,Esk,Whole District,Little Confidence,NA,6500,1
363,Lobbying,Fleet (Kircudbright),Catchment,Very Confident,0,1000,1
364,Lobbying,Forth,Targeted Location,N/A,0,NA,1
365,Lobbying,Forth,Coastal,N/A,0,NA,1
366,Lobbying,Forth,Whole District,Estimate,10050000,20065000,1
367,Lobbying,Forth,Whole District,N/A,0,NA,1
368,Lobbying,Kyle of Sutherland,Targeted Location,,0,NA,1
369,Lobbying,Kyle of Sutherland,River,,0,NA,1
370,Lobbying,Luce,Catchment,Fairly Confident,0,1000,1
371,Lobbying,Ness,Targeted Location,Estimate,5000,5000,1
372,Lobbying,Northern,Whole District,Estimate,1000,5000,1
373,Lobbying,Spey,Coastal,Fairly Confident,2500,2500,1
374,Lobbying,Tweed,Targeted Location,N/A,NA,NA,1
375,Lobbying,Tweed,Whole District,N/A,NA,130000,1
376,Lobbying,Urr,Catchment,Fairly Confident,0,700,1
377,Lobbying,Western Isles,Whole District,N/A,0,NA,2
378,Managing Predators,Argyll,River,Fairly Confident,0,NA,1
379,Managing Predators,Beauly,River,,NA,600,1
380,Managing Predators,Beauly,Catchment,,NA,1400,1
381,Managing Predators,Bladnoch,River,Very Confident,0,2000,1
382,Managing Predators,Cree,River,N/A,NA,NA,3
383,Managing Predators,Cromarty,Targeted Location,Very Confident,0,2100,1
384,Managing Predators,Cromarty,Whole District,Very Confident,0,6000,2
385,Managing Predators,Dee,Coastal,Very Confident,0,950,1
386,Managing Predators,Dee,River,Little Confidence,35000,84650,1
387,Managing Predators,Dee,River,Very Confident,4500,28292,1
388,Managing Predators,Deveron,River,Very Confident,3320,5517.5,2
389,Managing Predators,Deveron,Catchment,Very Confident,0,89621.97,1
390,Managing Predators,Don,River,Little Confidence,35000,37125,1
391,Managing Predators,Don,River,Very Confident,4500,14146,1
392,Managing Predators,Esk,Targeted Location,Very Confident,0,5000,1
393,Managing Predators,Esk,Coastal,Fairly Confident,0,6000,1
394,Managing Predators,Findhorn,Catchment,Little Confidence,0,2000,1
395,Managing Predators,Findhorn,Catchment,Very Confident,0,4000,1
